english	manx_translations
estuary	beeal awiney; cass awiney; inver
evacuate	cur magh; goaill magh; treigeil
evacuation	cur magh; folmaghey; goaill magh
evangelize	cur lesh gys credjue; jannoo sushtallagh; skeaylley yn credjue
evenly	dy corrym; Evenly distributed; dy rea
exaggerate	cloie fodjeeaght; Don't let us exaggerate!; mooadaghey
exceptionally	erskyn towse; feer; harrish yn cadjinys
exchangeable	coonragh; so-caghlaa; so-choonrey
excitement	greesaghey; He was in a fever of excitement; musthaa
excrement	cugh; eoylley; keck
execrable	ard-vollaghtagh; feohdagh; graney
exhalation	bree; druightys; lhiggey magh ennal
exhale	cur smoghan jeh; gaalaghey; lhiggey magh ennal
exhaustion	jeeigeyrys; To be in a state of exhaustion; soo
exhibit	cowraghey; soilshaghey; taishbyney
exorbitant	roud; ro gheyr; Were we exorbitant?
expansiveness	feaynid; feaynys; focklaght
expectancy	doghys; jerkallys; Life expectancy
expectant	jerkallagh; torragh; trome
expense	costallys; Expense no object; costys
expire	cheet gys jerrey; lhiggey magh ennal; mooghey
explanatory	meenee; soilshee; soilsheragh
exposition	meenaghey; soilshaghey magh; taishbynys
exposure	anchoodaghey; feayght; oaie
expressionless	follym; gyn dreagh; gyn vree
expressive	blaystal; dreaghagh; lane dy vree
expropriation	goaill er egin; goaill jeh; goaill voish
extemporise	cloie; gyn aarlaghey; loayr
extensiveness	lheanid; mooarid; rheamyssid
exterior	cheumooie; On the exterior; heu-astan
extinction	anvioys; baase; mooghey
extra	brash; frea; harrish y chadjinys
extract	asstayrn; jannoo soo jeh; sheeley
extraction	jeh sluight; soo; tayrn magh
extravagance	ceautaght; jummalys; jummallys
extravagant	baarailagh; breagagh; ceautagh
eyehole	croa; croae; lhagg ny sooilley
fabricate	cooiney; cummey; jannoo
factor	faghteyr; The highest common factor; maor
fag	gobbraghey er; jannoo guilleydys; guilley drid
faintheartedness	faasid chree; lhag-chreeys; lhaggid-chree
faintly	beggan; beggan beg; dy faase
faithlessness	mee-ynricks; meechredjue; neuynrickys
fallacious	foalsey; kialgagh; molteyragh
fameless	anghooagh; jeh beggan foaynoo; neu-ennymagh
famished	neeu; and their honourable men are famished0; gholl neeu
fanciful	fillosheragh; sheiltynagh; teaymagh
fang	birrag; croag; fraue
fanny	coirrey; cuinnag; pihtt
fantasy	fansee; sheiltynys; smooinaghtyn-viandagh
farrier	crouder; gaaue cabbil; lhee cabbil
fascia	eddin; eddin-chlaare; faishey
fascicle	clue; faskule; thammag
fastness	carrick; doon; dy beaynid
fat-fleshed	blennickagh; slane beiyht; callin vie
fathomable	so-feaysley; so-hoiggal; so-huntal
fattening	beeghey; beiyaghey; roauyragh
fault-find	feddyn foill ayn; foiljaghey; kennoughey
fault-finder	cremeyder; foiljeyder; kennougheyder
fault-finding	cremey; feddyn foutyn; kennoughey
faultiness	foiljid; loghtid; mellid
faulty	foiljagh; now shall they be found faulty$; Bible
fawn	brynneraght; jannoo seose rish; minjeig
feathery	clooiagh; clooieagh; fedjagagh
feint	eddrym; lhiggey; lhiggey er
fellmonger	shehder; craitneyder; delleyder-sheh
fence	faal; scaa; kionneyder griu
fencing	cliwederaght; cur faal mysh; cur scaa er
ferocity	eulys; ferg; gallverg
ferret	ferrad; ferret; kayt ny giark
ferryman	fer assaig; shiaulteyr; ymmyrtagh
fertilize	jannoo torragh; lhiasaghey; torraghey
feud	feoh; noidys; costreeu
fidget	foostyr; foostyrey; nhedderagh
fieldfare	dreeym gorrym; ushag y sniaghtee; ushag y traghtee
fieriness	aileaght; chennoilid; chiass ny greiney
fighter	caggeyder; co-streeuder; etlan caggee
filament	faast; fillamad; snaiean
filibuster	craghey; jannoo cragh; jannoo lhiettalys
fine-drawn	gloo; keyl-chooishagh; taynrit
fireguard	arreyder aile; gardey aile; scaa aile
firewood	brasnag; bwonyn; conney
fishery	aahley; eeasteyraght; grunt eeastee
fishmonger	cadjer eeast; creckeyder eeast; dellar eeast
fishpond	dubbyr eeast; lhingey eeast; loghan eeast
fitful	teaymagh; corragh; Fitful sleep
fizz	kesh; keshal; kialg
flagellate	scutchal; scuitchal; scuitchey
flagpole	croan; croan cullee; lorg brattagh
flagstones	leacyn; lhiackyn; lic
flaky	floagagh; lhiannagagh; scaaillagh
flannel	fledjyn; lidjag; kialter
flap	bennalt; bwoalley; flap
flare	boayl sollys; lossag; lossey
flashy	bashtallagh; falleayssagh; ornaidagh
flatness	dreeys; folmid; glennid
flawless	gyn loght; gyn scaaney; slane jeant
fleabite	beggan beg; greim jargan; mingey jargan
fleeced	fant; loamragh; loamrit
fleeces	loamraghyn; if he were not warmed with the fleece of my sheep7; Bible
flick	cassey; cur scuitch beg da; snig
flicker	chentyn; craa; falleaysagh
florid	blaaoil; jiarg; ruissagh
flounce	cassey; snug; snuggal
flounder	liebage Albinagh; liehbage Albinagh; strepey
floweriness	blaaoilid; blaatarys; ornaidys
flowery	blaa vreck; blaaoil; my vlaa
flue	beeal; feddan jaagh; towl jaagh
fluff	clooie; critlagh; cur yn critlagh seose
fluid	flaaoil; neuveayn; seyr
fluidity	flaaoilid; neuveaynid; sheeltaght
fluke	liebage; liehbage; pooghane
fluted	cuishlinagh; feer vog; maireenagh
flutter	bennalt; craa; gial beg
foggy	bodjallagh; chiu; fo-chay
foment	cur glabbag er; greesaghey; seiy
fomentation	glabbag; greesaghey; seiy
foolhardiness	neuchreenaght; ardghaanys; dunnallys-veecheeayllagh
foolhardy	baanrey; blebbinagh; neuchreeney
footpad	roosteyr; thoree; roosteyr-choshey
footstep	keim choshey; kesmad; kesmad coshey
forage	cur foddyr da; ronsaghey; scryssey
foray	cragh; craght; jannoo cragh
fore	cor; toshee; The fore feet
foreleg	cass hoshee; laue; lurgey toshee
foresight	fys rolaue; grine; kiarail rolaue
formality	cliaghtey; formoilid; neulhoobid
formless	gyn chummey; neuchummeydagh; anchaslyssagh
forsaker	cheader; faageyder; treigeilagh
forte	dy lajer; lajer; schlei
forthcoming	foshlit; jeeragh; ry-heet
fortnightly	gagh kegeesh; keayrt 'sy chegeesh; kegeeshoil
foulness	awanid; breinnid; broghid
foxtail	arbyl shynnee; faiyr shynnee; famman shynnee
foxy	glick; kioot; ruy
fraction	ayrn; ayrnag; corrillagh
fracture	brishey; scaaney; scoltey
fragility	brishlid; feiosid; treihys
frames	clowanyn; frameyn; Emission at twenty-five frames per second0
frankness	foshlid; jeerid; neucheiltynys
freckle	breck greiney; breck 'sy ghrian; breck 'sy nane
freehold	seyr-ghowaltys; seyr-ghowaltyssagh; seyr-helloo
freelance	dooinney neuchianglt; neuchianglt; neuchiangltagh
freight	goaill lught er boayrd; lughtaghey; lughtey
frenzied	er ouyl; er rouyl; keoie
frenzy	baanrid; builley; keogh
freshness	noaght; noaid; oorid
friar	braar; Mendicant friar; freer
friendliness	caarjoil; caarjysaght; curtheet
frieze	breid; chemmal; freesh
frisk	daunseyn; lheimyragh; lhiemmey
frisky	bioyr; mannanagh; reagh
fritter	freeghtag; jummal; To fritter all his money away
frog	frog; frug; lheimaghan
frolicsome	gammanagh; reagh; gennal
frontage	colb; eddin; oaie
frosted	far-riojit; fo vrat shugyr; riojit
fructiferous	gymmyrkey mess; messoil; yeeillagh
frugality	gortaght; kiarailys; spaarailys
fruiterer	delleyder mess; messeyder; creckeyder mess
fulled	giallit; tuckit; walkit
fully-manned	fo lane deiney; fo lane skimmee; fo lane sleih
fulmar	foillan Albinagh; pibbin vane; fulmyr
fulminate	baggyrt; taarnaghey; fulminate
fumble	jannoo brock jeh; loayrt dy moandagh; murtaghey
furlong	staid; meeilley; yiry
furriness	clooieaght; fynneydys; geayshteenid
furry	fynneydagh; geayshteenagh; clooiagh
fuss	anvea; musthaa; babbaney
fuzz	cheet magh my clooie; kerey magh; clooie
gaff	clep; croagane; slat y shiaull ard
galactic	bainnagh; bluight; galactagh
gale	gaal; Fresh gale; gaaley
gallop	garrey; lhigey; ratchal
gamp	fascadagh; fascaidagh; scaaliaghee
gangrene	gangrail; loauaghey; loauys
gaol	cur ayns carchyr; cur ayns pryssoon; pryssoonaghey
gaoler	geuleyder; pryssooneyder; jeler
garage	cur stiagh 'sy gharreish; garreish; gareish
garner	stoyral; thie tashtee; and will gather the wheat into his garner4
garrulous	cabberagh; focklagh; glib
gash	beam; lhott; loggyr
gaunt	shang; shirgit; thanney
gauntlet	doolane; Throw down the gauntlet; lauean liauyr
gelatine	gleiyan; gloagh; poodyr
generator	ayr; gienneyder; moir
geniality	follanid; gennallys; lossanaght
gerfalcon	shawk Eeslannagh; shawk Greenlannagh; urley bane
germ	bunniag; foghan; giennag
ghastliness	eajeeys; grouwid; scaanid
ghastly	eajee; grouw; scaanagh
gibing	connyssagh; connysson; craidoil
giddy	cur thollaneys er; thollaneagh; He walks on the brink of a precipice without feeling giddy8
gigantic	buillvollee; feer vooar; foawragh
gilled	asnagh; duillagagh; grooaneagh
girlish	caillinagh; inneenagh; lhiannooagh
glacial	fanntagh; glonnoil; rioee
glaringness	ard-sollyssid; dallid; leayrid
glassy	glonnoil; glessagh; Glassy stare
glaze	cur gloas er; cur glonney ayn; gloasey
glazed	fo glonney; gloasit; glonnit
gleam	falleaysagh; skell; skelley
glee	gennallys; gien; gleeghyn
glisten	glistral; glistree; lonraghey
gloominess	burgeeaght; groaish; groamaght
glow	bree; jiargaghey; jirgid
glowing	jiarg; lonragh; smarageagh
glut	plooghey; plooghey margee; saieid
glutted	lane dy vee; lum-lane; plooghit
go	doll; goll; gow
godfather	ayr bashtee; gedjey; goshtiu
godparent	ayr bashtee; gedjey; mimmey
gong	bwoalley clag raauee; bwoalley gong; gong
good-for-nothing	gyn y vie; kecksee; rag-rannee
good-humoured	doaieagh; gennal; gyn myskid
good-natured	dooie; mial; mialagh
gorge	bollagh; braaid; clash
gorging	sluggagh; sluggee; sluggey
grafter	cooyl-chliaghtey; noadagher; obbree jeean
grained	grineagh; grineenagh; snaieagh
granary	skibbalt; soalt; thie arroo
grapple	clep; greim; strepey
grating	cleeah; jeesternagh; jeesternee
gratuity	dooraght; nastey; toyrtys scarree
gravestone	clagh oaie; It will be written on his gravestone(; leac oaie
gravitation	ym-hayrn; tayrnys; stoo
greyish	breck-lheeah; glass-lheeah; lieh-lheeah
greyness	glassid; lheeaghid; lheeaghys
grid	cleeah; Sheep grid; grylley
grim	groaishagh; groamagh; grouw
grime	broid; scoig; scoodyn
grimness	groamid; groashid; grouwid
grisly	eajee; feodoil; graaney
groom	aarlaghey; kerey; fer ny gabbil
groomed	aarlit; jesh; kerit
grossness	chiuid; cheeid; garrooid
grounding	bun-oayllys; gruntey; lhiettrimys er y thalloo
groundwork	bunneydys; cooylrey; obbyr undinagh
grower	aaseyder; correyder; fer-vishee
growl	buirroogh; buirrooghey; gurr
grumbler	accanagh; talleyder; trughanagh
grunter	groaishagh; muc; soghaller
grunting	credal; creddagh; groaisheraght
gudgeon	gudjyn; kione tramman; stang
gulch	coan; couan; ldenst
gully	altan; gullad; jeeig
gurgling	glugagh; glugal; glugeragh
gushing	blaaderagh; bruightagh; skiootagh
gusset	bhuttag; condeil; gussad
gutted	folmit; glennit; scoltit
gutter	cur guttyr ayn; cur jeeg ayn; glenneyder
guttural	scoarnoil; scoarnee; goo gharroo
guy	cur tead er; jalloo; tead
habitual	cliaghtagh; lhiantyn; oashagh
hackney	cabbyl faillee; eagh faillee; gleashtan faillee
hairless	gyn folt; gyn fynney; gyn gruag
hairline	darrag; keyl; linney cheyl
half-witted	meecheeayllagh; moal-hushtagh; giare-cheeayllagh
halve	co-rheynnit; liehaghey; rheynn ayns jees
halved	co-rheynnit; Halved hole; rheynnit
handicap	bac; lhiettrimys; cur lhiettrimys er
handsomeness	aalid; braewid; breaghid
handyman	dooinney yeshlaueagh; fer lauee; laue-cheirdagh
hanker	goaill foddeeaght ny yei; mianey; dy miandagh
harassed	clowanit; throng; tranlaasit
harbourage	fastee; keiltynys; lhiabbee akerys
hard-and-fast	soit dy chionn; so-lhoobey; reen
hard-boiled	creoi; creoi-vroiet; reen
hardy	chionn; creoi; reen
harmful	jeeyllagh; lane assee; lane skielley
harmlessness	meenieunaght; neuskielleydys; onid
harmonic	co-heean; co-heeanagh; bingyssagh
harmonize	cheet ry-cheilley; cur rere y cheilley; freggyrt ry-cheilley
harrowing	cleiee; feer hrimsagh; feer voiragh
harshness	barbaght; garrooid; raghtanaght
harvester	beaynee; buinneyder; labree fouyir
hash	brock; He made a hash of it; mynvroo
hatefulness	dwoaieid; feohdoilid; feohdoilys
hater	feohder; feohdeyr; troodeyr
haulage	costys ymmyrkee; tayrn; thowal
haunch	curp; kerroo foalley; lheshey
haunter	fer taaghee; lhiannan; taagheyder
haunting	do-yarrood; lhiantynagh; taaghey
hawser	caabyl; tead staillin; tead yiarn
headache	chingys king; I have a headache; kione-ching
headcold	feayraght ching; mughane king; peeaghanid
heartiness	creeoilys; creeoilaght; creeoilid
heartless	creoi; creoi-chreeagh; gyn cree
hectoring	kiaullaneagh; kionyssagh; postyragh
hedgehog	arkan sonney; graynoge; He curled up like a hedgehog
heedful	frioosagh; geyre-hastagh; tastagh
helicopter	bennaltagh; coptyr; etlan cassee
helter-skelter	er mooin y cheilley; lane shilleyree; toor-skyrraghtyn
henpecked	fo ordaag; fo smagh y ven; pittane
hereto	dys shoh; er shoh; gys shoh
heritable	dooghyssagh; 'sy dooghys; yn-eiraghtagh
hesitation	leaystey; Without the slightest hesitation; thittys
hibernate	cadley yn geurey; ceau yn geurey; geuraghey
hidebound	chionn-chraitnagh; coon-enneeynagh; coon-inchyn
hider	follagher; folleyder; keilleyder
hierarchy	ard-chlere; keimoilaght; reiltys ny hagglish
highborn	ard-cheimnagh; ooasle; ooashley
high-minded	mooar-aggindagh; ard-aggindagh; ard-aignagh
high-powered	mooar-chummaghtagh; lajer; pooaral
highwayman	fochleader; rueg; thoree
hillside	dreeym; lhargagh; slieau
hilt	cass; doarnane; hilt
historic	imraagh; shendeeagh; skeealeydagh
hitter	builtagh; bwoalleyder; bwoalteyr
hive	goll ayns shelleig; kishaney; kishan shellan
hoarding	boalley claare; boayrd fogree; chymsagh
hoarseness	feoght; peeaghane; peeaghaneid
hobble	cur langeid er; shooyl croobagh; doilleeid
hobbyhorse	cabbyl maidjey; eagh-veg; sheltee ellanagh
hock	feeyn gial Germaanagh; craue yskid; speir
hoist	croghey; troggal; yrjaghey
holdfast	cloughey; glackey; greimaghan
hollowness	foalsaght; folmid; laggid
homework	arnane; obbyr hie; obbyr hiollee
homicide	dunverys; fuillaghtagh; marrooder
homograph	fockle co-screeut; co-screeuagh; homograaf
homonym	co-ennym; fockle co-rait; homonym
homosexual	homocheintagh; homocheintysagh; aeragh
hone	clagh hleeuee; clagh 'oyr; foyraghey
honeydew	druight molley; mill-chay; tombaacey millish
honk	feiyr; feiyral; sheidey
hoot	plou; screeagh; screeaghey
hopefulness	gialdynys; jerkallaght; treishteilaght
horizontal	co-ard; co-chruinnagh; feayn
hospitable	failtagh; feoiltagh; fial
hothead	eulyssagh; fer mollee; fergagh
hourly	er yn oor; ooragh; ooroil
hub	cree; The hub of the universe; imleig
huddle	cruinnaghey; moll; Huddle of houses
huffy	curneeinagh; smorigagh; smullagh
humane	dooinnidagh; mial; mialagh
humaneness	dooieid; dooinnidaght; mialaght
humped	croobit; crottag; dronnagh
hurricane	gaal-baarnee; gaardey; geay vooar
husbandry	obbyr hallooin; for he loved husbandry+; Bible
hush	cheet dy ve tost; cheet dy ve tostagh; kiuney
hydraulics	oayllys ushtey; sheanse ushtey; ushtey-obbraghys
hygiene	glennid; slaynt-oayllys; slayntaghys
hysterics	breinnaghtys; gorley-breinney; She went into hysterics
icicle	bwoid rioee; kibbin rioee; rioghar
ICT	FChCh; haghnoaylleeaght Fysseree as; hellinsh
idiomatical	abbyrtagh; corghlaragh; rere yn chengey
idiotic	moal-hushtagh; ommidjagh; thootagh
idler	lhiasteyr; litcher; queeyl chochianglee
idling	flusternee; litcheragh; neuharroogh
ignoble	anooasle; meeooasle; neuooasle
ignominious	nearagh; neareydagh; scammyltagh
ilk	clein; Of that ilk; keint
ill-advised	donney; That advice was ill-advised; neuchreeney
ill-favoured	graney; meefoayragh; ayns drogh challin
illiberal	gortagh; neufeoiltagh; neughiastyllagh
illiberality	gortid; neufeoiltys; neughiastyllid
illicit	anleighalagh; camlaagagh; neuslattysagh
illiteracy	drogh-ynsagh; neulettyraght; neuynsagh
ill-mannered	garroo; mee-ellynagh; neuchooyrtoil
ill-natured	beeataigagh; drogh-aighagh; granganagh
ill-timed	meehraaoil; neuemshiragh; neuemshyragh
illuminant	soilshagh; soilshean; soilshey
illusion	ashlish; conrieught; Optical illusion
illusive	breagagh; kialgagh; molleydagh
illustration	caslys; sollyssid; tayrneyraght
illustrious	ard-ghooagh; erreartagh; erroortagh
illustriousness	ard-ghoo; erroortys; ooashlid
imaginable	gientynagh; sheiltynagh; smooinaghtagh
imbecile	anlheiltagh; jei-hushtagh; meecheeayllagh
imbecility	anlheil; anlheiltys; annooinid aigney
imitation	arrish; caslys; maclioar
immature	aeg; anappee; neuappee
immaturity	aegid; anappeeid; anappeeys
immigrant	arreydagh sthie; Juan Haink Noal; sthie-arragh
immodesty	awaneys; awanid; meenearey
immoral	drogh-veasagh; drogh-veaysagh; maarderagh
immorality	drogh-veasaght; drogh-veaysaght; drogh-ymmyrkey
immovable	anchorragh; neughleashagh; neuscughee
impale	boallaghey; cur paayl er; roighey
impartial	cairagh; corrym; neuchleaynit
impartiality	corrymid; corymid; neuchleaynys
impatience	meehurransaght; meehurranse; siyrid
impeccable	gyn cron; gyn loght; neuloghtagh
impecuniosity	anverchaght; jeirkaght; neuargidaght
impecunious	anverchagh; gyn ping; jeirkagh
impedance	castid; castys; lhiettalys
imperceptible	do-chronnaghey; dooaragh; neuchronnal
imperfection	asslaanid; faaseyannoo; foill
imperiousness	ard-aigney; ard-vooaralys; chiarnoilid
impertinence	brunt; meearrym; perkinys
imperturbability	do-chorreeaght; feayr-aignys; feayr-chooish
imperturbable	do-chorree; feayr-aignagh; feayr-chooishagh
impetuous	brash; raghtal; siyragh
impinge	bwoailley; bwoalley noi; goll stiagh er
implacable	myskidagh; neuveeinagh; elgyssee
implant	cuirr; cuirr 'sy thalloo; soiaghey
implication	bree; cur ass lheh; keeayllaghey
imply	cowraghey; cur keeayl er; filley stiagh
impolite	mee-chooyrtoil; neuellynagh; neuveasagh
impoliteness	mee-chooyrtoilid; neuellynaght; neuveasaght
importation	cur lesh stiagh 'syn Ellan; kionnaghey stiagh; red currit stiagh
importunate	croaganagh; sheer-yeearreydagh; shirreydagh
importune	clowaney; sheer-yeearree; yeearree
impossibility	neuyantaght; neuyantys; neuyargaght
impost	baare-choorsey; errey; keesh
imposture	craueeaght-foalsey; kialgeyrys; molteyrys
impotence	lhag-stayd; lhaggid bree; neuvree
impracticability	neuchooilleentagh; neuchooilleentaght; ro-ghoilleeid
impracticable	do-yeant; neuchooilleentagh; ro-ghoillee
imprecation	mynney; mollaght,; gweeaghyn
impregnable	fondagh; neughowallagh; shickyr
impress	broo neose; cur neose er; ynnyd cowrey
imprisonment	carchyr; dooney; pryssoonaght
improbable	neuchosoylagh; neuhickyr; neulickly
improbity	aggairys; meechairys; neuynrickys
improperness	aggairys; anchooieid; meechiartys
impropriety	anoyr; meechiartys; neughoaieys
improvidence	jummalys; jummallys; lag-chairail
improvident	jummalys; jummallys; meechairailagh
imprudence	neuchreenaght; neufeeudid; neufeeudys
imprudent	anchreeney; neuchreeney; neughoaieagh
impudence	baaish; eddin; meenearey
in	ayns; To buy a pig in a poke; kione
inability	annoonid; faasid; neuablid
inaccessible	neuroshtynagh; neuvashtynagh; neuventynagh
inaccuracy	meechruinnys; neuchiartys; neuchruinnys
inactive	gyn lheihll; lhiastagh; lhiastey
inadequate	neuchorrym; neufeeu; laccalagh
inadvertence	neuhastid; neuhwoaie; neurioose
